epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.6143,1.3383,1.14771,1.12389,0.91529,0.89495,0.94728,0.59691,1.26674,0.74571,1.10988,0.000665583,0.000665583,0.000665583
2,165.703,1.31232,0.81454,1.11436,0.93321,0.89737,0.9541,0.61228,1.26161,0.65971,1.10775,0.00130587,0.00130587,0.00130587
3,243.358,1.30284,0.76639,1.11101,0.92996,0.89452,0.9517,0.60872,1.25703,0.65003,1.11183,0.00191976,0.00191976,0.00191976
4,320.779,1.28943,0.74039,1.11245,0.92331,0.8888,0.9492,0.62505,1.22479,0.63798,1.10083,0.0018812,0.0018812,0.0018812
5,400.209,1.25989,0.7038,1.10244,0.93918,0.90156,0.95795,0.63294,1.21854,0.59481,1.10165,0.0018416,0.0018416,0.0018416
6,479.243,1.25245,0.68567,1.0988,0.94381,0.90499,0.96013,0.61974,1.26033,0.62323,1.11757,0.001802,0.001802,0.001802
7,557.567,1.23538,0.66261,1.09068,0.94666,0.90518,0.96577,0.63997,1.19653,0.5717,1.0905,0.0017624,0.0017624,0.0017624
8,633.942,1.22139,0.6494,1.08354,0.94549,0.91155,0.96582,0.64515,1.19578,0.58574,1.08803,0.0017228,0.0017228,0.0017228
9,710.683,1.21316,0.63335,1.07692,0.94452,0.92391,0.96936,0.65085,1.18285,0.54442,1.07798,0.0016832,0.0016832,0.0016832
10,787.165,1.21585,0.63019,1.07983,0.93928,0.92174,0.96554,0.65647,1.18241,0.54547,1.08393,0.0016436,0.0016436,0.0016436
11,863.253,1.20044,0.61847,1.07546,0.93864,0.92324,0.96841,0.65212,1.18704,0.5363,1.08934,0.001604,0.001604,0.001604
12,939.477,1.20344,0.62237,1.07326,0.94597,0.92155,0.97099,0.65762,1.17164,0.53212,1.07672,0.0015644,0.0015644,0.0015644
13,1015.7,1.19566,0.59733,1.06966,0.94639,0.91765,0.96936,0.65466,1.17246,0.53404,1.07704,0.0015248,0.0015248,0.0015248
14,1092.12,1.18802,0.59931,1.0708,0.94667,0.92155,0.97067,0.65615,1.16938,0.52424,1.08007,0.0014852,0.0014852,0.0014852
15,1168.3,1.17891,0.59054,1.06621,0.94984,0.92155,0.9722,0.6556,1.17981,0.52666,1.08217,0.0014456,0.0014456,0.0014456
16,1244.49,1.17924,0.58329,1.06245,0.94635,0.92746,0.97252,0.66645,1.16361,0.51122,1.0739,0.001406,0.001406,0.001406
17,1320.76,1.16415,0.57349,1.06024,0.94531,0.92708,0.9724,0.66545,1.15569,0.51295,1.07121,0.0013664,0.0013664,0.0013664
18,1396.76,1.17068,0.57428,1.05921,0.95016,0.92916,0.97497,0.66687,1.16208,0.50314,1.07396,0.0013268,0.0013268,0.0013268
19,1472.75,1.15647,0.56671,1.05424,0.9493,0.93393,0.9742,0.66836,1.15193,0.49222,1.06845,0.0012872,0.0012872,0.0012872
20,1549.02,1.15378,0.55745,1.04911,0.94448,0.93941,0.97396,0.67295,1.14483,0.48788,1.06394,0.0012476,0.0012476,0.0012476
21,1625.09,1.14539,0.54763,1.05329,0.94953,0.93492,0.97483,0.66958,1.14527,0.49505,1.06506,0.001208,0.001208,0.001208
22,1701.26,1.14216,0.55371,1.0536,0.95402,0.92843,0.97513,0.6687,1.1533,0.49541,1.0747,0.0011684,0.0011684,0.0011684
23,1777.29,1.14304,0.54997,1.05167,0.94712,0.93787,0.97756,0.67108,1.15094,0.48818,1.07041,0.0011288,0.0011288,0.0011288
24,1853.35,1.13091,0.5366,1.04062,0.94723,0.93412,0.97546,0.67181,1.14258,0.48256,1.06914,0.0010892,0.0010892,0.0010892
25,1929.28,1.13948,0.54145,1.04923,0.94856,0.94174,0.97641,0.67743,1.1397,0.47625,1.06239,0.0010496,0.0010496,0.0010496
26,2006.73,1.13944,0.53708,1.04293,0.94721,0.93869,0.97592,0.68236,1.13243,0.46908,1.06032,0.00101,0.00101,0.00101
27,2083.24,1.12161,0.52973,1.04021,0.94531,0.94193,0.97676,0.67557,1.14385,0.46517,1.06388,0.0009704,0.0009704,0.0009704
28,2159.35,1.11791,0.52643,1.03957,0.94345,0.9435,0.97825,0.67572,1.13147,0.47196,1.05988,0.0009308,0.0009308,0.0009308
29,2235.69,1.11394,0.51863,1.03378,0.94775,0.94282,0.97886,0.67561,1.14479,0.47091,1.06699,0.0008912,0.0008912,0.0008912
30,2311.81,1.11569,0.52023,1.03763,0.94591,0.94568,0.97821,0.67581,1.13736,0.46285,1.06373,0.0008516,0.0008516,0.0008516
31,2388.5,1.10643,0.51403,1.03507,0.95526,0.93431,0.97664,0.67603,1.13457,0.46324,1.06539,0.000812,0.000812,0.000812
32,2464.56,1.0982,0.50451,1.0289,0.95554,0.93709,0.97828,0.67803,1.13308,0.46113,1.06274,0.0007724,0.0007724,0.0007724
33,2540.69,1.10146,0.50396,1.03276,0.95278,0.94136,0.97723,0.68139,1.13025,0.45853,1.05595,0.0007328,0.0007328,0.0007328
34,2616.65,1.09717,0.50258,1.03016,0.94988,0.94551,0.97928,0.67944,1.13244,0.45507,1.05838,0.0006932,0.0006932,0.0006932
35,2692.74,1.08751,0.49755,1.02652,0.94958,0.94383,0.97981,0.68085,1.13215,0.45379,1.06483,0.0006536,0.0006536,0.0006536
36,2768.81,1.09087,0.49734,1.02406,0.95329,0.94097,0.97966,0.68171,1.12507,0.45318,1.05604,0.000614,0.000614,0.000614
