epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.9685,1.36854,1.26696,1.14813,0.92516,0.87556,0.94369,0.58003,1.33079,0.78743,1.16723,0.000665583,0.000665583,0.000665583
2,165.585,1.32803,0.83482,1.14084,0.92259,0.87928,0.94418,0.59229,1.29774,0.73167,1.15618,0.00120036,0.00120036,0.00120036
3,234.294,1.29328,0.75194,1.13342,0.9329,0.87887,0.94726,0.61634,1.25562,0.67922,1.12532,0.00160313,0.00160313,0.00160313
4,305.286,1.26871,0.7004,1.11975,0.93483,0.90213,0.9584,0.63112,1.23822,0.62516,1.10797,0.001406,0.001406,0.001406
5,376.364,1.24321,0.66293,1.10705,0.93433,0.90118,0.95763,0.6355,1.21833,0.60735,1.10507,0.001208,0.001208,0.001208
6,448.774,1.22042,0.62008,1.09763,0.95162,0.90998,0.96605,0.64955,1.20209,0.56613,1.08334,0.00101,0.00101,0.00101
7,521.854,1.18994,0.59256,1.08061,0.94853,0.91584,0.96902,0.65619,1.17604,0.54319,1.07637,0.000812,0.000812,0.000812
8,594.561,1.17135,0.56376,1.07209,0.94853,0.91936,0.97029,0.65992,1.16296,0.53254,1.07557,0.000614,0.000614,0.000614
9,667.381,1.15381,0.54065,1.06124,0.94783,0.93241,0.97356,0.66977,1.15215,0.50497,1.067,0.000416,0.000416,0.000416
10,740.758,1.13276,0.51367,1.05047,0.94702,0.93255,0.97409,0.67473,1.14797,0.49099,1.05979,0.000218,0.000218,0.000218
